cluster_id,image_index
3,0
0,1
0,2
14,3
0,4
10,5
15,6
15,7
15,8
2,9
14,10
9,11
14,12
2,13
11,14
8,15
2,16
6,17
0,18
0,19
0,20
15,21
0,22
2,23
2,24
2,25
0,26
0,27
1,28
12,29
11,30
0,31
6,32
1,33
9,34
11,35
4,36
7,37
4,38
1,39
4,40
0,41
10,42
8,43
2,44
8,45
3,46
2,47
0,48
1,49
1,50
4,51
4,52
3,53
0,54
3,55
11,56
0,57
6,58
12,59
8,60
1,61
11,62
3,63
15,64
4,65
8,66
2,67
7,68
0,69
10,70
14,71
9,72
0,73
4,74
9,75
0,76
0,77
3,78
3,79
1,80
15,81
14,82
12,83
8,84
0,85
5,86
4,87
0,88
12,89
0,90
9,91
8,92
1,93
9,94
0,95
15,96
2,97
9,98
2,99
0,100
9,101
2,102
1,103
2,104
0,105
9,106
0,107
4,108
7,109
6,110
15,111
1,112
6,113
8,114
7,115
0,116
4,117
12,118
10,119
13,120
8,121
9,122
3,123
11,124
9,125
8,126
3,127
8,128
8,129
9,130
8,131
9,132
5,133
0,134
0,135
9,136
0,137
5,138
11,139
8,140
4,141
0,142
11,143
5,144
14,145
4,146
0,147
6,148
13,149
14,150
2,151
13,152
5,153
14,154
12,155
10,156
4,157
8,158
0,159
10,160
7,161
1,162
0,163
4,164
0,165
0,166
1,167
15,168
14,169
8,170
12,171
15,172
0,173
0,174
0,175
7,176
11,177
2,178
0,179
4,180
0,181
4,182
9,183
8,184
3,185
3,186
15,187
0,188
0,189
2,190
10,191
8,192
5,193
15,194
12,195
1,196
9,197
5,198
4,199
1,200
9,201
0,202
6,203
4,204
15,205
5,206
9,207
3,208
14,209
3,210
0,211
6,212
1,213
6,214
0,215
0,216
3,217
2,218
14,219
0,220
12,221
0,222
3,223
1,224
3,225
11,226
1,227
14,228
0,229
0,230
9,231
0,232
9,233
9,234
2,235
3,236
8,237
1,238
13,239
8,240
3,241
11,242
10,243
6,244
14,245
14,246
2,247
4,248
4,249
2,250
14,251
2,252
2,253
2,254
2,255
15,256
11,257
15,258
11,259
6,260
12,261
10,262
0,263
4,264
10,265
8,266
11,267
10,268
2,269
9,270
0,271
0,272
9,273
11,274
9,275
2,276
9,277
15,278
0,279
0,280
6,281
6,282
7,283
8,284
4,285
12,286
2,287
2,288
12,289
11,290
10,291
13,292
0,293
6,294
15,295
1,296
7,297
5,298
4,299
14,300
3,301
2,302
4,303
4,304
9,305
3,306
4,307
0,308
3,309
8,310
2,311
9,312
0,313
7,314
4,315
14,316
11,317
8,318
3,319
5,320
6,321
7,322
15,323
4,324
2,325
2,326
15,327
6,328
2,329
9,330
5,331
0,332
2,333
9,334
8,335
6,336
15,337
15,338
0,339
11,340
0,341
9,342
6,343
4,344
4,345
3,346
11,347
10,348
3,349
0,350
0,351
11,352
0,353
6,354
7,355
9,356
0,357
3,358
6,359
8,360
4,361
9,362
1,363
5,364
3,365
9,366
0,367
6,368
0,369
15,370
0,371
6,372
9,373
0,374
14,375
9,376
10,377
0,378
11,379
12,380
4,381
0,382
10,383
1,384
4,385
4,386
14,387
0,388
6,389
4,390
3,391
3,392
0,393
6,394
15,395
9,396
6,397
8,398
15,399
12,400
14,401
9,402
14,403
7,404
11,405
9,406
3,407
9,408
0,409
11,410
1,411
4,412
4,413
0,414
4,415
9,416
3,417
6,418
14,419
14,420
11,421
8,422
0,423
9,424
11,425
5,426
2,427
4,428
9,429
1,430
3,431
8,432
0,433
8,434
3,435
0,436
0,437
2,438
2,439
15,440
8,441
11,442
10,443
11,444
3,445
9,446
0,447
8,448
10,449
0,450
6,451
8,452
6,453
0,454
9,455
0,456
4,457
7,458
14,459
0,460
9,461
4,462
8,463
7,464
15,465
3,466
0,467
4,468
12,469
2,470
14,471
2,472
0,473
12,474
4,475
12,476
6,477
0,478
9,479
11,480
1,481
15,482
0,483
8,484
9,485
2,486
11,487
1,488
10,489
1,490
12,491
12,492
0,493
10,494
1,495
2,496
10,497
7,498
4,499
15,500
13,501
3,502
8,503
7,504
1,505
14,506
9,507
2,508
11,509
15,510
15,511
8,512
3,513
3,514
1,515
2,516
14,517
9,518
0,519
7,520
15,521
4,522
3,523
14,524
4,525
3,526
11,527
9,528
0,529
0,530
9,531
7,532
11,533
8,534
4,535
4,536
12,537
5,538
9,539
6,540
0,541
6,542
0,543
14,544
3,545
9,546
0,547
2,548
5,549
11,550
0,551
0,552
0,553
11,554
4,555
0,556
0,557
14,558
6,559
12,560
0,561
1,562
10,563
4,564
8,565
0,566
2,567
3,568
4,569
4,570
9,571
0,572
11,573
6,574
0,575
12,576
1,577
3,578
0,579
0,580
0,581
10,582
10,583
3,584
4,585
1,586
8,587
10,588
4,589
1,590
0,591
3,592
8,593
2,594
9,595
14,596
8,597
11,598
8,599
12,600
5,601
7,602
6,603
11,604
0,605
0,606
8,607
10,608
4,609
10,610
9,611
4,612
11,613
5,614
8,615
0,616
9,617
12,618
0,619
0,620
4,621
12,622
1,623
9,624
5,625
0,626
1,627
8,628
0,629
11,630
9,631
1,632
7,633
7,634
4,635
15,636
0,637
3,638
7,639
1,640
11,641
9,642
0,643
9,644
4,645
6,646
9,647
8,648
15,649
11,650
9,651
4,652
3,653
2,654
4,655
15,656
1,657
3,658
6,659
0,660
12,661
2,662
6,663
10,664
2,665
10,666
7,667
7,668
11,669
0,670
14,671
2,672
4,673
8,674
9,675
11,676
2,677
2,678
0,679
8,680
5,681
11,682
6,683
4,684
0,685
0,686
6,687
14,688
3,689
12,690
6,691
9,692
15,693
6,694
9,695
0,696
3,697
12,698
10,699
0,700
14,701
14,702
0,703
4,704
9,705
0,706
6,707
9,708
2,709
2,710
2,711
6,712
15,713
8,714
3,715
4,716
0,717
0,718
15,719
6,720
2,721
14,722
4,723
11,724
2,725
12,726
9,727
7,728
4,729
11,730
3,731
11,732
1,733
15,734
0,735
9,736
4,737
7,738
10,739
3,740
7,741
3,742
0,743
2,744
1,745
4,746
2,747
14,748
10,749
1,750
8,751
4,752
1,753
14,754
10,755
14,756
0,757
8,758
7,759
0,760
12,761
11,762
9,763
1,764
12,765
2,766
14,767
10,768
9,769
15,770
8,771
3,772
15,773
9,774
0,775
5,776
1,777
8,778
9,779
0,780
13,781
10,782
11,783
5,784
4,785
4,786
3,787
10,788
3,789
8,790
4,791
10,792
2,793
11,794
9,795
2,796
0,797
0,798
8,799
0,800
4,801
0,802
6,803
0,804
10,805
9,806
5,807
14,808
8,809
9,810
0,811
0,812
3,813
9,814
10,815
3,816
12,817
1,818
8,819
15,820
6,821
1,822
7,823
14,824
2,825
3,826
0,827
2,828
5,829
12,830
11,831
2,832
8,833
2,834
4,835
5,836
11,837
9,838
6,839
9,840
12,841
14,842
3,843
14,844
9,845
5,846
9,847
1,848
0,849
0,850
15,851
0,852
11,853
0,854
0,855
3,856
0,857
15,858
5,859
9,860
9,861
3,862
0,863
7,864
12,865
14,866
3,867
4,868
2,869
0,870
1,871
12,872
11,873
0,874
4,875
9,876
10,877
3,878
7,879
9,880
0,881
9,882
3,883
2,884
0,885
0,886
12,887
13,888
5,889
2,890
0,891
15,892
0,893
9,894
7,895
11,896
2,897
6,898
14,899
9,900
10,901
5,902
9,903
9,904
4,905
2,906
1,907
11,908
14,909
9,910
0,911
7,912
10,913
5,914
0,915
6,916
4,917
0,918
2,919
4,920
1,921
2,922
14,923
0,924
7,925
9,926
9,927
2,928
15,929
9,930
0,931
15,932
7,933
8,934
15,935
11,936
8,937
14,938
12,939
9,940
12,941
2,942
9,943
11,944
11,945
6,946
2,947
11,948
9,949
4,950
10,951
10,952
6,953
0,954
0,955
0,956
2,957
3,958
6,959
8,960
0,961
0,962
4,963
0,964
7,965
0,966
3,967
15,968
8,969
4,970
11,971
0,972
0,973
11,974
12,975
2,976
4,977
0,978
9,979
10,980
4,981
0,982
7,983
14,984
10,985
5,986
11,987
7,988
11,989
9,990
0,991
6,992
3,993
2,994
2,995
3,996
15,997
8,998
0,999
6,1000
7,1001
15,1002
1,1003
11,1004
11,1005
0,1006
0,1007
0,1008
3,1009
4,1010
0,1011
15,1012
7,1013
1,1014
12,1015
8,1016
5,1017
15,1018
12,1019
7,1020
8,1021
0,1022
11,1023
11,1024
12,1025
8,1026
7,1027
9,1028
2,1029
11,1030
12,1031
3,1032
11,1033
11,1034
2,1035
3,1036
8,1037
0,1038
2,1039
7,1040
12,1041
2,1042
11,1043
9,1044
14,1045
11,1046
13,1047
5,1048
1,1049
5,1050
6,1051
7,1052
5,1053
1,1054
3,1055
11,1056
2,1057
12,1058
0,1059
8,1060
12,1061
3,1062
7,1063
5,1064
14,1065
2,1066
10,1067
4,1068
0,1069
6,1070
3,1071
2,1072
0,1073
4,1074
9,1075
6,1076
0,1077
11,1078
1,1079
9,1080
8,1081
3,1082
5,1083
10,1084
12,1085
1,1086
0,1087
3,1088
9,1089
8,1090
9,1091
6,1092
4,1093
6,1094
4,1095
0,1096
2,1097
6,1098
4,1099
0,1100
4,1101
11,1102
3,1103
15,1104
5,1105
11,1106
10,1107
13,1108
11,1109
12,1110
7,1111
6,1112
0,1113
8,1114
6,1115
15,1116
9,1117
0,1118
4,1119
5,1120
9,1121
5,1122
15,1123
6,1124
8,1125
6,1126
2,1127
15,1128
11,1129
2,1130
3,1131
0,1132
1,1133
12,1134
8,1135
5,1136
8,1137
12,1138
6,1139
0,1140
0,1141
8,1142
4,1143
0,1144
6,1145
15,1146
2,1147
0,1148
0,1149
4,1150
5,1151
6,1152
6,1153
11,1154
4,1155
2,1156
14,1157
1,1158
0,1159
0,1160
8,1161
15,1162
7,1163
2,1164
0,1165
9,1166
6,1167
1,1168
3,1169
2,1170
8,1171
3,1172
3,1173
10,1174
6,1175
0,1176
8,1177
5,1178
0,1179
0,1180
11,1181
3,1182
4,1183
7,1184
4,1185
1,1186
11,1187
9,1188
5,1189
5,1190
2,1191
9,1192
0,1193
3,1194
4,1195
4,1196
0,1197
6,1198
0,1199
4,1200
9,1201
0,1202
0,1203
6,1204
11,1205
8,1206
15,1207
0,1208
2,1209
14,1210
14,1211
3,1212
3,1213
6,1214
3,1215
0,1216
1,1217
0,1218
13,1219
3,1220
4,1221
6,1222
9,1223
10,1224
0,1225
4,1226
12,1227
9,1228
4,1229
3,1230
14,1231
3,1232
8,1233
0,1234
0,1235
0,1236
2,1237
15,1238
11,1239
9,1240
0,1241
11,1242
9,1243
0,1244
3,1245
0,1246
15,1247
2,1248
7,1249
8,1250
9,1251
6,1252
2,1253
0,1254
0,1255
14,1256
14,1257
2,1258
1,1259
10,1260
12,1261
2,1262
11,1263
10,1264
2,1265
2,1266
11,1267
15,1268
4,1269
1,1270
3,1271
9,1272
9,1273
0,1274
5,1275
10,1276
2,1277
2,1278
6,1279
11,1280
0,1281
12,1282
10,1283
0,1284
3,1285
0,1286
11,1287
11,1288
4,1289
11,1290
0,1291
0,1292
1,1293
0,1294
8,1295
11,1296
0,1297
2,1298
4,1299
9,1300
2,1301
2,1302
12,1303
14,1304
10,1305
1,1306
9,1307
0,1308
6,1309
5,1310
5,1311
